model_name,tokenizer_robustness_completion_italian_abbreviations
Comma,1.709
Llama-3.2,1.555
Phi-3,1.525
GPT-2,1.675
GPT-4o,1.525
BLOOM,1.472
XGLM,1.17
Tekken,1.555
ByT5,3.713
mBERT,1.196
Qwen-3,1.615
TokenMonster,2.072
Gemma-2,1.366
Aya,1.475
