model_name,tokenizer_robustness_completion_italian_phonetic_spelling
Comma,1.744
Llama-3.2,1.629
Phi-3,1.583
GPT-2,1.765
GPT-4o,1.529
BLOOM,1.57
XGLM,1.233
Tekken,1.642
ByT5,4.003
mBERT,1.269
Qwen-3,1.683
TokenMonster,2.22
Gemma-2,1.399
Aya,1.491
