model_name,tokenizer_robustness_completion_italian_plausible_diacritics_errors
Comma,1.721
Llama-3.2,1.581
Phi-3,1.442
GPT-2,1.705
GPT-4o,1.465
BLOOM,1.473
XGLM,1.202
Tekken,1.597
ByT5,3.891
mBERT,1.116
Qwen-3,1.643
TokenMonster,2.054
Gemma-2,1.372
Aya,1.395
