model_name,tokenizer_robustness_completion_italian_capitalization
Comma,1.642
Llama-3.2,1.597
Phi-3,1.448
GPT-2,1.657
GPT-4o,1.493
BLOOM,1.463
XGLM,1.239
Tekken,1.582
ByT5,3.776
mBERT,1.179
Qwen-3,1.642
TokenMonster,2.0
Gemma-2,1.403
Aya,1.403
