model_name,tokenizer_robustness_completion_italian_contractions
Comma,1.845
Llama-3.2,1.544
Phi-3,1.414
GPT-2,1.632
GPT-4o,1.485
BLOOM,1.481
XGLM,1.222
Tekken,1.502
ByT5,3.795
mBERT,1.192
Qwen-3,1.544
TokenMonster,2.013
Gemma-2,1.322
Aya,1.414
