model_name,tokenizer_robustness_completion_italian_orthographic_errors
Comma,1.775
Llama-3.2,1.602
Phi-3,1.552
GPT-2,1.709
GPT-4o,1.53
BLOOM,1.552
XGLM,1.283
Tekken,1.589
ByT5,3.875
mBERT,1.322
Qwen-3,1.623
TokenMonster,2.118
Gemma-2,1.394
Aya,1.474
