model_name,tokenizer_robustness_completion_italian_keyboard_proximity_errors
Comma,1.766
Llama-3.2,1.642
Phi-3,1.586
GPT-2,1.743
GPT-4o,1.543
BLOOM,1.583
XGLM,1.302
Tekken,1.623
ByT5,3.889
mBERT,1.327
Qwen-3,1.686
TokenMonster,2.189
Gemma-2,1.425
Aya,1.51
