model_name,tokenizer_robustness_completion_italian_dialects
Comma,1.625
Llama-3.2,1.472
Phi-3,1.408
GPT-2,1.569
GPT-4o,1.412
BLOOM,1.461
XGLM,1.161
Tekken,1.453
ByT5,3.536
mBERT,1.176
Qwen-3,1.502
TokenMonster,1.94
Gemma-2,1.303
Aya,1.386
