model_name,tokenizer_robustness_completion_italian_numerical_formats
Comma,1.402
Llama-3.2,1.453
Phi-3,1.393
GPT-2,1.402
GPT-4o,1.333
BLOOM,1.282
XGLM,1.085
Tekken,1.504
ByT5,3.385
mBERT,1.009
Qwen-3,1.624
TokenMonster,1.957
Gemma-2,1.265
Aya,1.453
