model_name,tokenizer_robustness_completion_stem_canonical
Comma,0.368
Llama-3.2,0.232
Phi-3,0.154
GPT-2,0.304
GPT-4o,0.246
BLOOM,0.218
XGLM,0.164
Tekken,0.311
ByT5,0.889
mBERT,0.143
Qwen-3,0.232
TokenMonster,0.546
Gemma-2,0.114
Aya,0.189
