model_name,tokenizer_robustness_completion_stem_equivalent_expressions
Comma,0.248
Llama-3.2,0.124
Phi-3,0.08
GPT-2,0.177
GPT-4o,0.115
BLOOM,0.142
XGLM,0.115
Tekken,0.15
ByT5,0.646
mBERT,0.071
Qwen-3,0.124
TokenMonster,0.345
Gemma-2,0.053
Aya,0.08
