model_name,tokenizer_robustness_completion_stem_unicode_formatting
Comma,0.542
Llama-3.2,0.411
Phi-3,0.28
GPT-2,0.449
GPT-4o,0.402
BLOOM,0.402
XGLM,0.28
Tekken,0.486
ByT5,0.916
mBERT,0.206
Qwen-3,0.402
TokenMonster,0.617
Gemma-2,0.271
Aya,0.374
