model_name,tokenizer_robustness_completion_stem_space_removal
Comma,0.44
Llama-3.2,0.303
Phi-3,0.266
GPT-2,0.353
GPT-4o,0.312
BLOOM,0.294
XGLM,0.294
Tekken,0.349
ByT5,0.885
mBERT,0.257
Qwen-3,0.303
TokenMonster,0.573
Gemma-2,0.243
Aya,0.275
