model_name,tokenizer_robustness_completion_stem_morpheme_separation
Comma,0.374
Llama-3.2,0.262
Phi-3,0.209
GPT-2,0.291
GPT-4o,0.272
BLOOM,0.199
XGLM,0.16
Tekken,0.301
ByT5,0.728
mBERT,0.184
Qwen-3,0.262
TokenMonster,0.485
Gemma-2,0.165
Aya,0.214
