model_name,tokenizer_robustness_completion_stem_diacriticized_styling
Comma,0.341
Llama-3.2,0.159
Phi-3,0.13
GPT-2,0.225
GPT-4o,0.188
BLOOM,0.205
XGLM,0.13
Tekken,0.217
ByT5,1.0
mBERT,0.121
Qwen-3,0.159
TokenMonster,0.5
Gemma-2,0.084
Aya,0.145
