model_name,tokenizer_robustness_completion_stem_compounds
Comma,0.5
Llama-3.2,0.2
Phi-3,0.0
GPT-2,0.3
GPT-4o,0.2
BLOOM,0.3
XGLM,0.2
Tekken,0.3
ByT5,0.9
mBERT,0.2
Qwen-3,0.2
TokenMonster,0.6
Gemma-2,0.1
Aya,0.1
