model_name,tokenizer_robustness_completion_stem_fullwidth_characters
Comma,0.388
Llama-3.2,0.204
Phi-3,0.163
GPT-2,0.245
GPT-4o,0.224
BLOOM,0.204
XGLM,0.163
Tekken,0.245
ByT5,0.969
mBERT,0.143
Qwen-3,0.204
TokenMonster,0.51
Gemma-2,0.122
Aya,0.184
