model_name,tokenizer_robustness_completion_stem_spelled_out
Comma,0.377
Llama-3.2,0.264
Phi-3,0.186
GPT-2,0.314
GPT-4o,0.241
BLOOM,0.3
XGLM,0.264
Tekken,0.318
ByT5,0.864
mBERT,0.195
Qwen-3,0.264
TokenMonster,0.582
Gemma-2,0.082
Aya,0.141
