model_name,tokenizer_robustness_completion_stem_strikethrough
Comma,0.35
Llama-3.2,0.163
Phi-3,0.138
GPT-2,0.225
GPT-4o,0.188
BLOOM,0.212
XGLM,0.138
Tekken,0.212
ByT5,1.0
mBERT,0.125
Qwen-3,0.163
TokenMonster,0.512
Gemma-2,0.087
Aya,0.15
