model_name,tokenizer_robustness_completion_stem_colloquial
Comma,0.565
Llama-3.2,0.306
Phi-3,0.258
GPT-2,0.339
GPT-4o,0.323
BLOOM,0.258
XGLM,0.258
Tekken,0.355
ByT5,0.984
mBERT,0.258
Qwen-3,0.306
TokenMonster,0.613
Gemma-2,0.21
Aya,0.274
