model_name,tokenizer_robustness_completion_stem_superscript_subscript
Comma,0.369
Llama-3.2,0.179
Phi-3,0.149
GPT-2,0.238
GPT-4o,0.202
BLOOM,0.226
XGLM,0.149
Tekken,0.226
ByT5,0.988
mBERT,0.131
Qwen-3,0.179
TokenMonster,0.512
Gemma-2,0.107
Aya,0.167
