model_name,tokenizer_robustness_completion_stem_enclosed_characters
Comma,0.341
Llama-3.2,0.155
Phi-3,0.132
GPT-2,0.225
GPT-4o,0.178
BLOOM,0.202
XGLM,0.132
Tekken,0.205
ByT5,1.0
mBERT,0.12
Qwen-3,0.155
TokenMonster,0.508
Gemma-2,0.081
Aya,0.143
