model_name,tokenizer_robustness_completion_italian_web_search_query
Comma,0.698
Llama-3.2,0.643
Phi-3,0.566
GPT-2,0.76
GPT-4o,0.636
BLOOM,0.674
XGLM,0.287
Tekken,0.667
ByT5,0.93
mBERT,0.256
Qwen-3,0.682
TokenMonster,0.806
Gemma-2,0.473
Aya,0.62
