model_name,tokenizer_robustness_completion_italian_english_keyboard
Comma,0.429
Llama-3.2,0.358
Phi-3,0.29
GPT-2,0.4
GPT-4o,0.336
BLOOM,0.336
XGLM,0.168
Tekken,0.353
ByT5,0.758
mBERT,0.129
Qwen-3,0.374
TokenMonster,0.51
Gemma-2,0.259
Aya,0.317
