model_name,tokenizer_robustness_completion_italian_spelled_out
Comma,0.384
Llama-3.2,0.374
Phi-3,0.331
GPT-2,0.388
GPT-4o,0.335
BLOOM,0.327
XGLM,0.146
Tekken,0.313
ByT5,0.915
mBERT,0.089
Qwen-3,0.409
TokenMonster,0.537
Gemma-2,0.221
Aya,0.302
