model_name,tokenizer_robustness_completion_italian_grammatical_errors
Comma,0.499
Llama-3.2,0.434
Phi-3,0.315
GPT-2,0.469
GPT-4o,0.407
BLOOM,0.392
XGLM,0.196
Tekken,0.42
ByT5,0.915
mBERT,0.136
Qwen-3,0.442
TokenMonster,0.585
Gemma-2,0.296
Aya,0.359
