model_name,tokenizer_robustness_completion_italian_abbreviations
Comma,0.483
Llama-3.2,0.423
Phi-3,0.366
GPT-2,0.457
GPT-4o,0.404
BLOOM,0.374
XGLM,0.166
Tekken,0.426
ByT5,0.857
mBERT,0.151
Qwen-3,0.442
TokenMonster,0.543
Gemma-2,0.309
Aya,0.4
