model_name,tokenizer_robustness_completion_italian_typographical_errors
Comma,0.486
Llama-3.2,0.422
Phi-3,0.338
GPT-2,0.463
GPT-4o,0.397
BLOOM,0.39
XGLM,0.263
Tekken,0.401
ByT5,0.898
mBERT,0.206
Qwen-3,0.424
TokenMonster,0.571
Gemma-2,0.303
Aya,0.372
