model_name,tokenizer_robustness_completion_italian_code_language_script_switching
Comma,0.387
Llama-3.2,0.286
Phi-3,0.23
GPT-2,0.322
GPT-4o,0.269
BLOOM,0.297
XGLM,0.129
Tekken,0.308
ByT5,0.891
mBERT,0.095
Qwen-3,0.3
TokenMonster,0.513
Gemma-2,0.193
Aya,0.252
