model_name,tokenizer_robustness_completion_italian_similar_words
Comma,0.516
Llama-3.2,0.468
Phi-3,0.331
GPT-2,0.54
GPT-4o,0.46
BLOOM,0.444
XGLM,0.242
Tekken,0.419
ByT5,0.815
mBERT,0.169
Qwen-3,0.468
TokenMonster,0.597
Gemma-2,0.323
Aya,0.387
