model_name,tokenizer_robustness_completion_italian_canonical
Comma,0.467
Llama-3.2,0.396
Phi-3,0.316
GPT-2,0.442
GPT-4o,0.371
BLOOM,0.374
XGLM,0.184
Tekken,0.387
ByT5,0.898
mBERT,0.132
Qwen-3,0.409
TokenMonster,0.549
Gemma-2,0.28
Aya,0.352
