model_name,tokenizer_robustness_completion_italian_phonetic_spelling
Comma,0.478
Llama-3.2,0.435
Phi-3,0.355
GPT-2,0.483
GPT-4o,0.402
BLOOM,0.394
XGLM,0.212
Tekken,0.419
ByT5,0.898
mBERT,0.202
Qwen-3,0.435
TokenMonster,0.601
Gemma-2,0.299
Aya,0.381
