model_name,tokenizer_robustness_completion_italian_date_formats
Comma,0.312
Llama-3.2,0.312
Phi-3,0.406
GPT-2,0.312
GPT-4o,0.188
BLOOM,0.219
XGLM,0.125
Tekken,0.312
ByT5,0.875
mBERT,0.062
Qwen-3,0.406
TokenMonster,0.406
Gemma-2,0.188
Aya,0.312
