model_name,tokenizer_robustness_completion_stem_colloquial
Comma,1.694
Llama-3.2,1.403
Phi-3,1.371
GPT-2,1.468
GPT-4o,1.419
BLOOM,1.323
XGLM,1.339
Tekken,1.484
ByT5,4.565
mBERT,1.419
Qwen-3,1.403
TokenMonster,1.952
Gemma-2,1.29
Aya,1.387
