model_name,tokenizer_robustness_completion_stem_character_deletion
Comma,1.682
Llama-3.2,1.466
Phi-3,1.458
GPT-2,1.549
GPT-4o,1.462
BLOOM,1.451
XGLM,1.39
Tekken,1.519
ByT5,4.595
mBERT,1.447
Qwen-3,1.485
TokenMonster,2.087
Gemma-2,1.356
Aya,1.413
