model_name,tokenizer_robustness_completion_stem_spelled_out
Comma,1.441
Llama-3.2,1.3
Phi-3,1.241
GPT-2,1.468
GPT-4o,1.291
BLOOM,1.35
XGLM,1.318
Tekken,1.368
ByT5,4.664
mBERT,1.273
Qwen-3,1.305
TokenMonster,1.809
Gemma-2,1.091
Aya,1.205
