model_name,tokenizer_robustness_completion_stem_morpheme_separation
Comma,1.413
Llama-3.2,1.282
Phi-3,1.257
GPT-2,1.34
GPT-4o,1.301
BLOOM,1.252
XGLM,1.189
Tekken,1.345
ByT5,3.733
mBERT,1.248
Qwen-3,1.291
TokenMonster,1.689
Gemma-2,1.175
Aya,1.233
