model_name,tokenizer_robustness_completion_stem_enclosed_characters
Comma,1.415
Llama-3.2,1.202
Phi-3,1.229
GPT-2,1.295
GPT-4o,1.213
BLOOM,1.264
XGLM,1.19
Tekken,1.267
ByT5,4.884
mBERT,1.194
Qwen-3,1.213
TokenMonster,1.671
Gemma-2,1.116
Aya,1.178
