model_name,tokenizer_robustness_completion_stem_unicode_formatting
Comma,1.729
Llama-3.2,1.645
Phi-3,1.514
GPT-2,2.0
GPT-4o,1.682
BLOOM,1.636
XGLM,1.458
Tekken,1.766
ByT5,4.813
mBERT,1.383
Qwen-3,1.645
TokenMonster,3.009
Gemma-2,1.449
Aya,1.664
