model_name,tokenizer_robustness_completion_stem_canonical
Comma,1.489
Llama-3.2,1.332
Phi-3,1.307
GPT-2,1.425
GPT-4o,1.336
BLOOM,1.364
XGLM,1.264
Tekken,1.418
ByT5,4.825
mBERT,1.271
Qwen-3,1.343
TokenMonster,1.818
Gemma-2,1.189
Aya,1.282
