model_name,tokenizer_robustness_completion_stem_diacriticized_styling
Comma,1.405
Llama-3.2,1.199
Phi-3,1.217
GPT-2,1.283
GPT-4o,1.22
BLOOM,1.26
XGLM,1.185
Tekken,1.277
ByT5,4.925
mBERT,1.202
Qwen-3,1.208
TokenMonster,1.65
Gemma-2,1.116
Aya,1.176
