model_name,tokenizer_robustness_completion_stem_double_struck
Comma,1.456
Llama-3.2,1.262
Phi-3,1.262
GPT-2,1.34
GPT-4o,1.272
BLOOM,1.301
XGLM,1.233
Tekken,1.32
ByT5,4.66
mBERT,1.223
Qwen-3,1.272
TokenMonster,1.709
Gemma-2,1.175
Aya,1.243
