model_name,tokenizer_robustness_completion_stem_strikethrough
Comma,1.425
Llama-3.2,1.212
Phi-3,1.238
GPT-2,1.3
GPT-4o,1.225
BLOOM,1.275
XGLM,1.2
Tekken,1.275
ByT5,4.9
mBERT,1.2
Qwen-3,1.225
TokenMonster,1.688
Gemma-2,1.125
Aya,1.188
