model_name,tokenizer_robustness_completion_stem_compounds
Comma,1.5
Llama-3.2,1.2
Phi-3,1.0
GPT-2,1.3
GPT-4o,1.2
BLOOM,1.3
XGLM,1.2
Tekken,1.3
ByT5,4.8
mBERT,1.2
Qwen-3,1.2
TokenMonster,1.7
Gemma-2,1.1
Aya,1.1
