model_name,tokenizer_robustness_completion_stem_latex
Comma,1.947
Llama-3.2,1.963
Phi-3,1.91
GPT-2,2.059
GPT-4o,1.991
BLOOM,1.611
XGLM,2.065
Tekken,1.86
ByT5,4.072
mBERT,2.093
Qwen-3,1.963
TokenMonster,2.078
Gemma-2,1.857
Aya,1.956
