model_name,tokenizer_robustness_completion_english_abbreviations
Comma,0.303
Llama-3.2,0.064
Phi-3,0.058
GPT-2,0.087
GPT-4o,0.052
BLOOM,0.101
XGLM,0.09
Tekken,0.107
ByT5,0.824
mBERT,0.046
Qwen-3,0.064
TokenMonster,0.396
Gemma-2,0.023
Aya,0.029
