model_name,tokenizer_robustness_completion_english_grammatical_errors
Comma,0.303
Llama-3.2,0.076
Phi-3,0.099
GPT-2,0.117
GPT-4o,0.067
BLOOM,0.12
XGLM,0.082
Tekken,0.146
ByT5,0.88
mBERT,0.067
Qwen-3,0.087
TokenMonster,0.434
Gemma-2,0.064
Aya,0.067
