model_name,tokenizer_robustness_completion_english_ocr_errors
Comma,0.373
Llama-3.2,0.155
Phi-3,0.164
GPT-2,0.164
GPT-4o,0.145
BLOOM,0.169
XGLM,0.153
Tekken,0.198
ByT5,0.866
mBERT,0.139
Qwen-3,0.172
TokenMonster,0.426
Gemma-2,0.142
Aya,0.137
