model_name,tokenizer_robustness_completion_english_web_search_query
Comma,0.219
Llama-3.2,0.132
Phi-3,0.132
GPT-2,0.172
GPT-4o,0.113
BLOOM,0.166
XGLM,0.093
Tekken,0.238
ByT5,0.815
mBERT,0.093
Qwen-3,0.159
TokenMonster,0.576
Gemma-2,0.066
Aya,0.093
