model_name,tokenizer_robustness_completion_english_character_deletion
Comma,0.363
Llama-3.2,0.141
Phi-3,0.144
GPT-2,0.147
GPT-4o,0.118
BLOOM,0.164
XGLM,0.133
Tekken,0.184
ByT5,0.865
mBERT,0.127
Qwen-3,0.153
TokenMonster,0.424
Gemma-2,0.104
Aya,0.115
