model_name,tokenizer_robustness_completion_english_character_substitution
Comma,0.231
Llama-3.2,0.103
Phi-3,0.141
GPT-2,0.141
GPT-4o,0.09
BLOOM,0.147
XGLM,0.103
Tekken,0.179
ByT5,0.788
mBERT,0.071
Qwen-3,0.103
TokenMonster,0.487
Gemma-2,0.045
Aya,0.058
