model_name,tokenizer_robustness_completion_english_spaced_styling
Comma,0.0
Llama-3.2,0.0
Phi-3,0.02
GPT-2,0.0
GPT-4o,0.0
BLOOM,0.0
XGLM,0.008
Tekken,0.0
ByT5,0.0
mBERT,0.0
Qwen-3,0.0
TokenMonster,0.0
Gemma-2,0.0
Aya,0.0
