model_name,tokenizer_robustness_completion_english_hyphenated_spelling
Comma,0.002
Llama-3.2,0.002
Phi-3,0.002
GPT-2,0.002
GPT-4o,0.002
BLOOM,0.002
XGLM,0.005
Tekken,0.002
ByT5,0.002
mBERT,0.002
Qwen-3,0.002
TokenMonster,0.002
Gemma-2,0.002
Aya,0.002
