model_name,tokenizer_robustness_completion_english_historical_spelling
Comma,0.523
Llama-3.2,0.307
Phi-3,0.322
GPT-2,0.305
GPT-4o,0.305
BLOOM,0.316
XGLM,0.276
Tekken,0.325
ByT5,0.876
mBERT,0.264
Qwen-3,0.319
TokenMonster,0.443
Gemma-2,0.282
Aya,0.29
