model_name,tokenizer_robustness_completion_english_date_formats
Comma,0.322
Llama-3.2,0.115
Phi-3,0.284
GPT-2,0.115
GPT-4o,0.115
BLOOM,0.115
XGLM,0.295
Tekken,0.175
ByT5,0.82
mBERT,0.158
Qwen-3,0.175
TokenMonster,0.459
Gemma-2,0.273
Aya,0.175
