model_name,tokenizer_robustness_completion_english_compounds
Comma,0.286
Llama-3.2,0.081
Phi-3,0.069
GPT-2,0.101
GPT-4o,0.076
BLOOM,0.113
XGLM,0.071
Tekken,0.131
ByT5,0.8
mBERT,0.047
Qwen-3,0.086
TokenMonster,0.404
Gemma-2,0.037
Aya,0.049
