model_name,tokenizer_robustness_completion_english_letter_repetition_for_emphasis
Comma,0.601
Llama-3.2,0.439
Phi-3,0.431
GPT-2,0.439
GPT-4o,0.439
BLOOM,0.442
XGLM,0.484
Tekken,0.456
ByT5,0.878
mBERT,0.467
Qwen-3,0.45
TokenMonster,0.567
Gemma-2,0.414
Aya,0.439
