model_name,tokenizer_robustness_completion_english_orthographic_errors
Comma,0.411
Llama-3.2,0.183
Phi-3,0.19
GPT-2,0.195
GPT-4o,0.166
BLOOM,0.202
XGLM,0.166
Tekken,0.224
ByT5,0.873
mBERT,0.163
Qwen-3,0.193
TokenMonster,0.421
Gemma-2,0.149
Aya,0.153
