model_name,tokenizer_robustness_completion_english_superscript_subscript_styling
Comma,0.927
Llama-3.2,0.927
Phi-3,0.93
GPT-2,0.927
GPT-4o,0.927
BLOOM,0.889
XGLM,0.065
Tekken,0.927
ByT5,0.933
mBERT,0.839
Qwen-3,0.883
TokenMonster,0.933
Gemma-2,0.883
Aya,0.927
