model_name,tokenizer_robustness_completion_english_colloquial
Comma,0.307
Llama-3.2,0.101
Phi-3,0.134
GPT-2,0.13
GPT-4o,0.094
BLOOM,0.144
XGLM,0.112
Tekken,0.177
ByT5,0.881
mBERT,0.105
Qwen-3,0.116
TokenMonster,0.502
Gemma-2,0.079
Aya,0.065
