model_name,tokenizer_robustness_completion_english_similar_words
Comma,0.395
Llama-3.2,0.156
Phi-3,0.133
GPT-2,0.174
GPT-4o,0.153
BLOOM,0.186
XGLM,0.13
Tekken,0.197
ByT5,0.897
mBERT,0.106
Qwen-3,0.158
TokenMonster,0.458
Gemma-2,0.089
Aya,0.1
