model_name,tokenizer_robustness_completion_english_space_removal
Comma,1.0
Llama-3.2,0.917
Phi-3,0.917
GPT-2,0.917
GPT-4o,0.917
BLOOM,0.917
XGLM,0.917
Tekken,0.917
ByT5,1.0
mBERT,0.917
Qwen-3,0.917
TokenMonster,0.917
Gemma-2,0.917
Aya,0.917
