model_name,tokenizer_robustness_completion_english_emoji_substitution
Comma,0.422
Llama-3.2,0.204
Phi-3,0.206
GPT-2,0.223
GPT-4o,0.16
BLOOM,0.226
XGLM,0.204
Tekken,0.24
ByT5,0.862
mBERT,0.039
Qwen-3,0.102
TokenMonster,0.451
Gemma-2,0.036
Aya,0.153
