model_name,tokenizer_robustness_completion_chinese_space_removal
Comma,0.218
Llama-3.2,0.171
Phi-3,0.545
GPT-2,0.367
GPT-4o,0.171
BLOOM,0.147
XGLM,0.29
Tekken,0.21
ByT5,0.808
mBERT,0.221
Qwen-3,0.144
TokenMonster,0.529
Gemma-2,0.118
Aya,0.129
